Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T057_001,SE_T157_001
"29189217806","14000US29189217806","Census Tract 2178.06, St. Louis County, Missouri","Census Tract 2178.06, St. Louis County, Missouri","mo","140","00","ACSSF","0005446",,,,,"29","189",,,,"217806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59615,0.4207
"29189217807","14000US29189217807","Census Tract 2178.07, St. Louis County, Missouri","Census Tract 2178.07, St. Louis County, Missouri","mo","140","00","ACSSF","0005447",,,,,"29","189",,,,"217807",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73585,0.444
"29189217841","14000US29189217841","Census Tract 2178.41, St. Louis County, Missouri","Census Tract 2178.41, St. Louis County, Missouri","mo","140","00","ACSSF","0005448",,,,,"29","189",,,,"217841",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112586,0.3465
"29189217842","14000US29189217842","Census Tract 2178.42, St. Louis County, Missouri","Census Tract 2178.42, St. Louis County, Missouri","mo","140","00","ACSSF","0005449",,,,,"29","189",,,,"217842",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89750,0.5199
"29189217851","14000US29189217851","Census Tract 2178.51, St. Louis County, Missouri","Census Tract 2178.51, St. Louis County, Missouri","mo","140","00","ACSSF","0005450",,,,,"29","189",,,,"217851",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111086,0.3708
"29189217852","14000US29189217852","Census Tract 2178.52, St. Louis County, Missouri","Census Tract 2178.52, St. Louis County, Missouri","mo","140","00","ACSSF","0005451",,,,,"29","189",,,,"217852",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109063,0.3702
"29189217921","14000US29189217921","Census Tract 2179.21, St. Louis County, Missouri","Census Tract 2179.21, St. Louis County, Missouri","mo","140","00","ACSSF","0005452",,,,,"29","189",,,,"217921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130147,0.4193
"29189217923","14000US29189217923","Census Tract 2179.23, St. Louis County, Missouri","Census Tract 2179.23, St. Louis County, Missouri","mo","140","00","ACSSF","0005453",,,,,"29","189",,,,"217923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89047,0.3635
"29189217931","14000US29189217931","Census Tract 2179.31, St. Louis County, Missouri","Census Tract 2179.31, St. Louis County, Missouri","mo","140","00","ACSSF","0005454",,,,,"29","189",,,,"217931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80682,0.3385
"29189217932","14000US29189217932","Census Tract 2179.32, St. Louis County, Missouri","Census Tract 2179.32, St. Louis County, Missouri","mo","140","00","ACSSF","0005455",,,,,"29","189",,,,"217932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92120,0.3541
"29189217941","14000US29189217941","Census Tract 2179.41, St. Louis County, Missouri","Census Tract 2179.41, St. Louis County, Missouri","mo","140","00","ACSSF","0005456",,,,,"29","189",,,,"217941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69557,0.4326
"29189217942","14000US29189217942","Census Tract 2179.42, St. Louis County, Missouri","Census Tract 2179.42, St. Louis County, Missouri","mo","140","00","ACSSF","0005457",,,,,"29","189",,,,"217942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70985,0.3583
"29189217943","14000US29189217943","Census Tract 2179.43, St. Louis County, Missouri","Census Tract 2179.43, St. Louis County, Missouri","mo","140","00","ACSSF","0005458",,,,,"29","189",,,,"217943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91414,0.4074
"29189217944","14000US29189217944","Census Tract 2179.44, St. Louis County, Missouri","Census Tract 2179.44, St. Louis County, Missouri","mo","140","00","ACSSF","0005459",,,,,"29","189",,,,"217944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116058,0.384
"29189218003","14000US29189218003","Census Tract 2180.03, St. Louis County, Missouri","Census Tract 2180.03, St. Louis County, Missouri","mo","140","00","ACSSF","0005460",,,,,"29","189",,,,"218003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91601,0.3993
"29189218011","14000US29189218011","Census Tract 2180.11, St. Louis County, Missouri","Census Tract 2180.11, St. Louis County, Missouri","mo","140","00","ACSSF","0005461",,,,,"29","189",,,,"218011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63417,0.5041
"29189218012","14000US29189218012","Census Tract 2180.12, St. Louis County, Missouri","Census Tract 2180.12, St. Louis County, Missouri","mo","140","00","ACSSF","0005462",,,,,"29","189",,,,"218012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124500,0.3667
"29189218102","14000US29189218102","Census Tract 2181.02, St. Louis County, Missouri","Census Tract 2181.02, St. Louis County, Missouri","mo","140","00","ACSSF","0005463",,,,,"29","189",,,,"218102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51781,0.3915
"29189218103","14000US29189218103","Census Tract 2181.03, St. Louis County, Missouri","Census Tract 2181.03, St. Louis County, Missouri","mo","140","00","ACSSF","0005464",,,,,"29","189",,,,"218103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56449,0.4361
"29189218201","14000US29189218201","Census Tract 2182.01, St. Louis County, Missouri","Census Tract 2182.01, St. Louis County, Missouri","mo","140","00","ACSSF","0005465",,,,,"29","189",,,,"218201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75430,0.3921
